Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
Furniture,Henderson,United States,Claire Gute,0.00%,1,08-11-2016,CA-2016-152156,42420,Bush Somerset Collection Bookcase,42,2,South,262,Consumer,11-11-2016,Second Class,Kentucky,Bookcases
Furniture,Henderson,United States,Claire Gute,0.00%,1,08-11-2016,CA-2016-152156,42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",220,3,South,732,Consumer,11-11-2016,Second Class,Kentucky,Chairs
Office Supplies,Los Angeles,United States,Darrin Van Huff,0.00%,1,12-06-2016,CA-2016-138688,90036,Self-Adhesive Address Labels for Typewriters by Universal,7,2,West,15,Corporate,16-06-2016,Second Class,California,Labels
Furniture,Fort Lauderdale,United States,Sean O'Donnell,45.00%,1,11-10-2015,US-2015-108966,33311,Bretford CR4500 Series Slim Rectangular Table,-383,5,South,958,Consumer,18-10-2015,Standard Class,Florida,Tables
Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,20.00%,1,11-10-2015,US-2015-108966,33311,Eldon Fold 'N Roll Cart System,3,2,South,22,Consumer,18-10-2015,Standard Class,Florida,Storage
Furniture,Los Angeles,United States,Brosina Hoffman,0.00%,1,09-06-2014,CA-2014-115812,90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",14,7,West,49,Consumer,14-06-2014,Standard Class,California,Furnishings
Office Supplies,Los Angeles,United States,Brosina Hoffman,0.00%,1,09-06-2014,CA-2014-115812,90032,Newell 322,2,4,West,7,Consumer,14-06-2014,Standard Class,California,Art
Technology,Los Angeles,United States,Brosina Hoffman,20.00%,1,09-06-2014,CA-2014-115812,90032,Mitel 5320 IP Phone VoIP phone,91,6,West,907,Consumer,14-06-2014,Standard Class,California,Phones
Office Supplies,Los Angeles,United States,Brosina Hoffman,20.00%,1,09-06-2014,CA-2014-115812,90032,DXL Angle-View Binders with Locking Rings by Samsill,6,3,West,19,Consumer,14-06-2014,Standard Class,California,Binders
Office Supplies,Los Angeles,United States,Brosina Hoffman,0.00%,1,09-06-2014,CA-2014-115812,90032,Belkin F5C206VTEL 6 Outlet Surge,34,5,West,115,Consumer,14-06-2014,Standard Class,California,Appliances
Furniture,Los Angeles,United States,Brosina Hoffman,20.00%,1,09-06-2014,CA-2014-115812,90032,Chromcraft Rectangular Conference Tables,85,9,West,"1,706",Consumer,14-06-2014,Standard Class,California,Tables
Technology,Los Angeles,United States,Brosina Hoffman,20.00%,1,09-06-2014,CA-2014-115812,90032,Konftel 250 Conference phone - Charcoal black,68,4,West,911,Consumer,14-06-2014,Standard Class,California,Phones
Office Supplies,Concord,United States,Andrew Allen,20.00%,1,15-04-2017,CA-2017-114412,28027,Xerox 1967,5,3,South,16,Consumer,20-04-2017,Standard Class,North Carolina,Paper
Office Supplies,Seattle,United States,Irene Maddox,20.00%,1,05-12-2016,CA-2016-161389,98103,Fellowes PB200 Plastic Comb Binding Machine,133,3,West,408,Consumer,10-12-2016,Standard Class,Washington,Binders
Office Supplies,Fort Worth,United States,Harold Pawlan,80.00%,1,22-11-2015,US-2015-118983,76106,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-124,5,Central,69,Home Office,26-11-2015,Standard Class,Texas,Appliances
Office Supplies,Fort Worth,United States,Harold Pawlan,80.00%,1,22-11-2015,US-2015-118983,76106,Storex DuraTech Recycled Plastic Frosted Binders,-4,3,Central,3,Home Office,26-11-2015,Standard Class,Texas,Binders
Office Supplies,Madison,United States,Pete Kriz,0.00%,1,11-11-2014,CA-2014-105893,53711,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",13,6,Central,666,Consumer,18-11-2014,Standard Class,Wisconsin,Storage
Office Supplies,West Jordan,United States,Alejandro Grove,0.00%,1,13-05-2014,CA-2014-167164,84084,Fellowes Super Stor/Drawer,10,2,West,56,Consumer,15-05-2014,Second Class,Utah,Storage
Office Supplies,San Francisco,United States,Zuschuss Donatelli,0.00%,1,27-08-2014,CA-2014-143336,94109,Newell 341,2,2,West,9,Consumer,01-09-2014,Second Class,California,Art
Technology,San Francisco,United States,Zuschuss Donatelli,20.00%,1,27-08-2014,CA-2014-143336,94109,Cisco SPA 501G IP Phone,16,3,West,213,Consumer,01-09-2014,Second Class,California,Phones
Office Supplies,San Francisco,United States,Zuschuss Donatelli,20.00%,1,27-08-2014,CA-2014-143336,94109,"Wilson Jones Hanging View Binder, White, 1""",7,4,West,23,Consumer,01-09-2014,Second Class,California,Binders
Office Supplies,Fremont,United States,Ken Black,0.00%,1,09-12-2016,CA-2016-137330,68025,Newell 318,5,7,Central,19,Corporate,13-12-2016,Standard Class,Nebraska,Art
Office Supplies,Fremont,United States,Ken Black,0.00%,1,09-12-2016,CA-2016-137330,68025,"Acco Six-Outlet Power Strip, 4' Cord Length",16,7,Central,60,Corporate,13-12-2016,Standard Class,Nebraska,Appliances
Furniture,Philadelphia,United States,Sandra Flanagan,30.00%,1,16-07-2017,US-2017-156909,19140,"Global Deluxe Stacking Chair, Gray",-1,2,East,71,Consumer,18-07-2017,Second Class,Pennsylvania,Chairs
Furniture,Orem,United States,Emily Burns,0.00%,1,25-09-2015,CA-2015-106320,84057,Bretford CR4500 Series Slim Rectangular Table,240,3,West,"1,045",Consumer,30-09-2015,Standard Class,Utah,Tables
Office Supplies,Los Angeles,United States,Eric Hoffmann,20.00%,1,16-01-2016,CA-2016-121755,90049,Wilson Jones Active Use Binders,4,2,West,12,Consumer,20-01-2016,Second Class,California,Binders
